LA_name,LA_number,For_3_P,For_1_P,For_3_S,For_1_S,Quan_P_In,Quan_S_In,Quan_P_RP,Quan_S_RP,Quan_P_Su,Quan_S_Su,Quan_P_PP,Quan_S_PP,Qual_P_1_N,Qual_P_2_N,Qual_P_3_N,Qual_P_4_N,Qual_P_0_N,Qual_P_1_E,Qual_P_2_E,Qual_P_3_E,Qual_P_4_E,Qual_P_0_E,Qual_P_Prop,Qual_P_Propranks,Qual_S_1_N,Qual_S_2_N,Qual_S_3_N,Qual_S_4_N,Qual_S_0_N,Qual_S_1_E,Qual_S_2_E,Qual_S_3_E,Qual_S_4_E,Qual_S_0_E,Qual_S_Prop,Qual_S_Propranks,KS4_WAA_N,KS4_AA_N,KS4_A_N,KS4_BA_N,KS4_WBA_N,KS4_NR_N,Qual_KS4_Prop,Qual_KS4_Propranks,KS4_WAA_E,KS4_AA_E,KS4_A_E,KS4_BA_E,KS4_WBA_E,KS4_NR_E,KS2Mat_WAA_N,KS2Mat_AA_N,KS2Mat_A_N,KS2Mat_BA_N,KS2Mat_WBA_N,KS2Mat_NR_N,Qual_KS2Mat_Prop,Qual_KS2Mat_Propranks,KS2Mat_WAA_E,KS2Mat_AA_E,KS2Mat_A_E,KS2Mat_BA_E,KS2Mat_WBA_E,KS2Mat_NR_E,KS2Read_WAA_N,KS2Read_AA_N,KS2Read_A_N,KS2Read_BA_N,KS2Read_WBA_N,KS2Read_NR_N,Qual_KS2Read_Prop,Qual_KS2Read_Propranks,KS2Read_WAA_E,KS2Read_AA_E,KS2Read_A_E,KS2Read_BA_E,KS2Read_WBA_E,KS2Read_NR_E,CPP_P_EP,CPP_P_ET,CPP_P_NS,CPP_S_EP,CPP_S_ET,CPP_S_NS,Projects_P_EP,Projects_P_ET,Projects_P_NS,Projects_S_EP,Projects_S_ET,Projects_S_NS,Cost_P_EP,Places_P_EP,Cost_P_ET,Places_P_ET,Cost_P_NS,Places_P_NS,Cost_S_EP,Places_S_EP,Cost_S_ET,Places_S_ET,Cost_S_NS,Places_S_NS,Ban_P_gro,Ban_S_gro,Funding,Pref_P_1,Pref_P_2,Pref_P_3,Pref_S_1,Pref_S_2,Pref_S_3,Pref_P_T3,Pref_S_T3
Bracknell Forest,867,0.127734651,0.020163323,0.076822917,0.008789063,1681,2166,0,0,11.8%,22.5%,0,120,0,0,61,0,0,1049,5732,3359,0,0,0,118,30,0,0,0,1365,2480,5785,0,0,0,1,1,0,30,0,0,0,1365,1,1,1010,1470,2451,1972,1362,0,0,0,61,0,0,0,0,68,209,870,6661,1710,210,480,0,0,61,0,0,0,0,69,629,240,8161,630,0,480,22991.65074,28132.8573,z,29153.90682,z,z,5,2,0,1,0,0,16278088.73,708,1125314.292,40,0,0,10262175.2,352,0,0,0,0,0.172285095,0.227404194,51466907.52,92.5,5.2,1.1,82.3,8.0,5.2,98.9,95.5
Windsor and Maidenhead,868,-0.001053833,-0.002898042,0.013199246,0.002514142,2440,2016,10,0,11.3%,13.9%,201,420,0,15,95,0,0,3869,7179,1276,0,0,0.136363636,117,124,229,96,0,0,4222,6648,585,0,0,0.786191537,92,0,124,94,135,0,96,0.351274788,55,1181,1642,3454,2238,0,2940,0,0,15,0,0,95,0,68,1614,1270,3204,1200,159,4877,0,0,15,0,0,95,0,69,1260,975,4432,780,0,4877,9159.199388,8132.013489,z,17308.77371,z,z,2,2,0,1,0,0,549551.9633,60,658693.0926,81,0,0,2077052.846,120,0,0,0,0,0.262915025,0.166019166,31563843.24,83.6,8.0,2.9,76.5,12.2,3.4,94.4,92.1
West Berkshire,869,0.053280228,0.013376418,0.024892704,0.009120172,1458,298,50,130,12.3%,9.5%,240,295,15,0,0,0,0,1255,11977,1043,0,0,1,1,0,0,0,0,0,3039,8636,0,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,0,2847,7691,1137,0,0,0,0,0,15,0,0,0,68,730,1390,7177,2429,971,1578,0,0,15,0,0,0,0,69,1346,1905,8521,659,266,1578,21159.38014,4500.187493,z,z,z,z,4,5,0,0,0,0,5924626.44,280,585024.3741,130,0,0,0,0,0,0,0,0,0.089488278,0.038955741,32047920.15,94.4,3.8,0.9,89.8,5.3,1.5,99.1,96.6
Reading,870,0.06776365,0.016679132,0.011086821,0.001561524,4065,2996,0,70,14.9%,15.3%,120,715,0,0,0,0,0,2090,11113,1395,396,0,NULL,NULL,0,0,150,0,0,2247,4438,2650,0,0,0,111,0,0,0,0,150,0,0,74,1647,0,2362,0,2650,2676,0,0,0,0,0,0,NULL,NULL,870,240,9369,2995,420,1100,0,0,0,0,0,0,NULL,NULL,450,870,9919,1545,1110,1100,23312.82811,z,19490.02581,z,z,z,6,0,2,0,0,0,27555762.82,1182,0,0,8185810.84,420,0,0,0,0,0,0,0.330783169,0.866712867,62103202.44,88.0,6.7,2.7,64.4,14.1,5.8,97.3,84.3
Slough,871,0.015359886,-0.004881824,0.008921792,-0.008542141,5672,6557,0,0,8.5%,7.3%,0,0,44,60,0,0,0,3841,13006,630,0,840,1,1,335,409,0,0,0,8129,4143,905,1140,1100,1,1,0,335,0,0,409,0,0.450268817,50,5929,3054,2260,905,1029,2240,44,0,60,0,0,0,0.423076923,29,3928,5918,3880,2506,0,2085,0,44,60,0,0,0,0.423076923,26,450,5008,6790,3346,638,2085,21262.18801,4518.305463,z,z,z,z,5,5,0,0,0,0,14968580.36,704,1626589.967,360,0,0,0,0,0,0,0,0,0.445523942,0.695448276,82225167.24,92.0,5.7,1.3,62.8,13.7,6.3,98.9,82.8
Wokingham,872,0.048214168,0.003551931,-0.049187625,-0.001669263,2928,2620,230,70,9.4%,5.3%,810,0,0,233,180,0,0,2770,10722,1560,420,0,0.564164649,113,106,0,0,0,0,1209,10163,1210,0,0,1,1,106,0,0,0,0,0,1,1,4335,1175,4102,1770,0,1200,0,0,365,0,48,0,0,68,840,1428,9065,1040,372,2727,0,0,365,0,48,0,0,69,1155,1691,8837,690,372,2727,14658.0455,19645.74261,24838.65993,z,z,31954.16057,4,2,1,0,0,1,6156379.112,420,884058.4174,45,11078042.33,446,0,0,0,0,38344992.69,1200,0.331790643,0.210277614,58885759.64,88.7,7.8,1.4,79.9,10.3,3.6,97.9,93.8
Cambridgeshire,873,0.066043884,0.017834219,0.038889453,0.013256231,13455,3822,170,940,18.6%,13.9%,2910,1500,270,606,111,120,240,4924,41897,7413,989,1050,0.791327913,103,390,0,0,0,0,8570,26665,1949,0,750,1,1,240,150,0,0,0,0,1,1,8072,6793,17201,4448,0,1420,270,0,507,240,0,330,0.265486726,44,4931,4048,28785,7207,3776,7526,270,0,447,150,150,330,0.265486726,40,4897,4835,31612,3800,3963,7166,23945.08686,z,24387.36887,27404.8404,z,51972.94482,19,0,4,2,0,1,70973237.46,2964,0,0,55017904.17,2256,8221452.119,300,0,0,31183766.89,600,0.224226924,0.126929789,165282562.6,92.8,4.3,1.0,89.5,5.3,1.5,98.0,96.3
Peterborough,874,0.016555986,0.006917543,0.047169811,0.005345912,5239,5730,440,0,6.4%,10.1%,150,0,0,345,0,0,0,1740,15035,1950,0,0,1,1,0,780,0,0,300,2810,11199,1600,0,1200,1,1,30,0,450,300,0,300,0.038461538,73,1875,0,7773,5461,0,1700,0,0,315,0,0,30,0,68,1470,2310,8120,2940,1470,2415,0,0,315,0,0,30,0,69,1470,210,9920,2250,2460,2415,18101.73789,1661.287923,z,z,z,z,5,3,0,0,0,0,14626204.22,808,149515.913,90,0,0,0,0,0,0,0,0,0.434972397,0.687022029,62670289.3,90.4,5.7,1.1,84.1,10.5,2.4,97.2,97.0
Halton,876,0.015097856,0.00027959,0.004071661,0.014386536,466,2724,0,0,11.6%,13.0%,10,0,70,90,0,0,0,2173,6708,1890,700,0,1,1,50,38,43,0,0,2476,3018,2584,900,0,0.671755725,99,0,50,38,0,43,0,0.381679389,52,976,1500,5018,0,1484,0,0,0,90,70,0,0,0,68,787,1050,6601,1680,1120,233,0,0,90,0,70,0,0,69,752,1225,7056,945,1260,233,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100888063,0.105709126,6475502.82,90.4,6.1,1.0,84.2,7.4,1.3,97.6,92.9
Warrington,877,0.061314685,0.006097902,0.043656779,0.00100553,673,0,110,0,9.4%,11.4%,525,639,0,0,15,0,0,4639,13902,613,0,0,0,118,0,211,163,0,0,2362,8690,2178,0,0,0.564171123,105,46,0,328,0,0,0,0.122994652,70,2703,1936,7146,825,0,620,0,0,15,0,0,0,0,68,2820,2898,11907,612,205,712,0,0,15,0,0,0,0,69,1783,2163,14053,205,238,712,16450.23432,1333.811116,z,z,z,z,4,1,0,0,0,0,8636373.019,525,40014.33349,30,0,0,0,0,0,0,0,0,0.10785948,0.067933884,32212231.13,90.7,5.0,1.9,87.4,7.5,1.5,97.6,96.4
Devon,878,0.04213011,0.022513501,0.089312193,0.039580244,8988,6038,880,780,11.9%,14.8%,517,290,0,498,25,0,420,11358,42326,7828,991,420,0.952198853,88,0,50,0,0,0,8605,22002,14673,1825,0,1,1,0,0,50,0,0,0,0,74,2025,3003,18636,18256,1610,3575,235,0,119,229,125,235,0.331920904,38,3012,3107,30357,10591,8730,7126,60,0,593,0,55,235,0.084745763,62,4923,5281,35889,2985,6719,7126,14070.54983,6285.895565,13585.31336,16489.57261,z,20883.71,23,2,2,3,0,1,19079665.57,1356,282865.3004,45,7050777.636,519,1813852.987,110,0,0,20027477.89,959,0.166298587,0.043737417,94608028.48,96.5,2.3,0.3,93.5,3.6,0.4,99.1,97.5
Plymouth,879,0.003234527,0.007627691,0.00942626,0.013360053,4354,2236,40,0,16.7%,18.2%,240,290,0,211,53,0,0,3619,14581,3561,630,0,0.799242424,102,30,0,0,0,0,1160,9462,5159,4521,375,1,1,0,0,30,0,0,0,0,74,840,0,12118,2830,3864,1025,0,0,211,0,32,21,0,68,4032,4867,9455,1785,1274,978,0,0,211,32,0,21,0,69,2352,2835,13680,858,1688,978,12253.42667,z,12798.01749,z,z,z,5,0,1,0,0,0,6543329.84,534,0,0,8408297.492,657,0,0,0,0,0,0,0.127036014,0.011522009,30115363.39,94.2,3.6,0.8,88.8,7.1,2.0,98.7,97.8
Torbay,880,0.03596834,0.004608757,0.052123027,-0.003402286,752,0,180,70,6.3%,6.1%,60,170,0,0,0,0,0,1365,7385,1680,0,0,NULL,NULL,0,200,0,0,0,3010,6456,0,0,0,1,1,0,200,0,0,0,0,1,1,900,3310,1300,2850,1106,0,0,0,0,0,0,0,NULL,NULL,2275,1680,4375,1890,210,0,0,0,0,0,0,0,NULL,NULL,1785,1680,6020,735,210,0,16431.96183,z,z,z,z,z,1,0,0,0,0,0,3450711.984,210,0,0,0,0,0,0,0,0,0,0,0.139669892,0.107373335,25894926.67,92.5,4.6,1.2,84.1,10.2,1.7,98.3,95.9
Essex,881,0.02468369,0.005581696,0.031516027,0.014214398,12363,3336,1220,360,8.2%,8.6%,2885,4390,354,1119,120,0,840,19723,87687,7785,1225,420,0.924670433,91,373,483,0,200,0,17488,62910,6680,5090,0,0.810606061,91,191,78,504,283,0,0,0.254734848,64,6669,11756,31371,24616,10616,7140,332,0,804,285,112,900,0.216568819,50,8324,14358,58802,12336,10319,12701,89,267,675,390,112,900,0.232224397,43,7339,9320,68025,11183,8272,12701,14432.56034,6477.961883,20083.0236,17825.53754,5321.804648,z,36,23,2,4,2,0,58524032.19,4055,4664132.556,720,16869739.82,840,10606194.83,595,319308.2789,60,0,0,0.190836614,0.154456595,284669714.8,89.4,6.2,1.9,82.5,8.4,2.7,97.5,93.5
Southend-on-Sea,882,-0.002575788,-0.000858596,0.02663349,0.016864805,2651,1180,10,40,8.6%,2.2%,0,240,0,0,0,0,0,1176,14054,630,0,0,NULL,NULL,183,60,0,0,0,5852,5165,1156,0,0,1,1,153,30,60,0,0,0,0.75308642,35,6837,970,1440,1770,1156,0,0,0,0,0,0,0,NULL,NULL,1110,4814,4116,3780,720,1320,0,0,0,0,0,0,NULL,NULL,210,4694,7476,1440,720,1320,17861.12047,7463.015581,z,z,z,z,5,3,0,0,0,0,12860006.74,720,2238904.674,300,0,0,0,0,0,0,0,0,0.168497019,0.116075584,39765667.66,88.6,7.4,1.5,78.6,9.6,4.2,97.4,92.3
Thurrock,883,0.022460081,0.004737673,0.040765649,0.016761511,4331,3461,240,150,4.7%,8.8%,420,764,0,30,0,0,0,2580,14438,420,630,0,1,1,0,149,0,30,0,1330,4825,3710,1230,900,0.832402235,88,0,0,149,30,0,0,0,74,1950,0,4005,3380,1760,900,0,0,30,0,0,0,0,68,3750,2640,6105,2580,630,2363,0,0,30,0,0,0,0,69,1380,2190,8085,2790,1260,2363,13506.28633,2856.402649,z,z,z,z,3,5,0,0,0,0,5267451.67,390,685536.6358,240,0,0,0,0,0,0,0,0,0.409066503,0.509188464,55445082.68,87.6,6.6,1.7,71.2,11.0,5.8,95.8,88.0
Herefordshire,884,0.005200981,0.009510365,0.02385028,0.015177451,0,0,130,220,11.3%,13.2%,240,0,30,19,0,0,0,3079,11110,210,270,0,1,1,21,59,0,0,0,1202,6287,1808,1120,0,1,1,0,21,59,0,0,0,0.2625,63,130,1202,4846,1686,2553,0,30,0,19,0,0,0,0.612244898,23,3682,540,8369,690,679,709,49,0,0,0,0,0,1,1,4362,807,8266,0,525,709,10143.89555,4328.644805,z,z,z,z,3,1,0,0,0,0,994101.7636,98,129859.3442,30,0,0,0,0,0,0,0,0,0.115775446,0.043057176,14755303.99,96.1,2.5,0.5,91.7,5.2,0.4,99.1,97.3
Worcestershire,885,0.024809897,0.006900465,0.042325646,0.020274507,4533,3150,520,260,9.1%,13.7%,1245,760,266,272,0,0,0,7113,33720,3608,1515,0,1,1,252,320,370,0,0,8466,22277,6296,1349,0,0.607218684,104,144,252,126,130,0,290,0.607361963,40,1356,5350,12307,5089,0,14286,0,0,301,63,35,139,0,68,2170,1611,16296,3538,1994,20347,0,210,154,35,0,139,0.526315789,22,1608,3433,16299,2170,2099,20347,16047.25016,5526.152713,z,17383.93413,z,z,7,1,0,2,0,0,11714492.62,730,165784.5814,30,0,0,5215180.239,300,0,0,0,0,0.16238297,0.070933551,74025212.06,92.6,4.8,0.8,88.0,5.0,1.2,98.3,94.1
Kent,886,0.004320665,0.006215415,0.010677494,0.020918677,18818,10104,1220,1050,9.8%,9.2%,2979,3885,90,687,0,0,210,24893,98887,6715,1695,420,1,1,250,303,0,0,1260,31942,62223,11354,2199,0,1,1,69,155,209,0,0,1380,0.517321016,47,17402,11978,32412,24963,19163,1800,0,0,442,0,35,510,0,68,7654,11886,74747,16368,11906,10049,0,48,199,0,230,510,0.100628931,61,11171,10313,80868,10502,9707,10049,17591.98886,4944.43771,29773.99852,37751.09622,z,z,45,13,8,7,0,0,102244639.3,5812,2185441.468,442,50020317.52,1680,52096512.79,1380,0,0,0,0,0.203793576,0.2334029,351801194.8,89.4,6.1,1.9,79.1,11.2,3.8,97.4,94.1
Medway,887,0.039174166,0.00513092,0.004310614,0.001624289,2705,1545,140,0,5.3%,13.0%,0,600,0,620,0,0,0,2560,18128,2790,1700,0,1,1,186,0,0,0,0,4861,16150,949,600,0,1,1,0,186,0,0,0,0,1,1,3568,5006,8620,3405,1361,600,0,0,540,0,0,80,0,68,2729,1660,10061,3604,3379,3745,0,0,330,0,210,80,0,69,2310,3024,9451,1969,4679,3745,18951.9946,9723.624432,z,z,z,z,4,1,0,0,0,0,8964293.446,473,291708.733,30,0,0,0,0,0,0,0,0,0.229828851,0.143037135,45512888.16,89.0,6.8,1.7,76.3,12.7,2.9,97.6,91.9
Lancashire,888,0.019699917,0.010124983,0.022858126,0.016365229,4918,0,1520,250,7.4%,8.3%,140,150,136,226,0,0,0,20235,76218,8230,210,0,1,1,0,311,17,0,0,17562,38216,13694,4089,0,0.948170732,78,0,0,309,19,0,0,0,74,3102,14852,31862,14257,9488,0,0,35,182,77,35,33,0.106382979,62,8950,10265,66767,9065,6968,2878,0,40,269,0,20,33,0.121580547,59,3755,9340,72807,6916,9197,2878,22790.19729,9167.785878,z,19025.52249,z,z,10,8,0,2,0,0,21605107.03,948,2475302.187,270,0,0,5707656.746,300,0,0,0,0,0.14673494,0.087649339,152553217,90.4,5.6,1.8,83.7,8.7,2.9,97.9,95.3
Blackburn with Darwen,889,-0.017498211,-0.009367072,-0.010364258,-0.006641175,1957,2451,140,0,10.4%,7.4%,0,0,40,198,115,0,0,2480,11190,2310,0,0,0.674220963,109,0,50,0,0,0,2950,6540,3025,0,0,1,1,0,0,50,0,0,0,0,74,3230,0,5285,3700,0,300,58,63,169,0,46,17,0.360119048,36,2146,2222,9641,420,524,1027,40,18,232,46,0,17,0.172619048,50,1495,2782,8892,1154,630,1027,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101782466,0.302742362,19797556.99,89.9,6.8,1.2,79.6,12.7,3.1,97.9,95.4
Blackpool,890,-0.000679521,-0.006455449,0.092197426,-0.007981756,1043,315,0,10,8.8%,17.5%,0,0,0,0,0,0,420,1050,10741,880,0,0,NULL,NULL,0,175,0,0,800,0,3655,2352,1200,0,1,1,0,0,0,60,115,800,0,74,0,0,1950,1220,4037,0,0,0,0,0,0,420,NULL,NULL,3570,1718,5297,892,144,1050,0,0,0,0,0,420,NULL,NULL,2730,1290,5881,1720,0,1050,z,z,z,z,z,z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09284189,-0.16525641,23671643.19,92.7,4.9,0.8,80.6,11.8,2.0,98.4,94.5
Nottinghamshire,891,-0.005649549,0.027081963,0.014346032,0.038240092,9624,1848,650,890,9.0%,13.7%,1662,300,215,1421,85,49,0,9883,48306,8636,441,0,0.924293785,92,1446,2066,197,186,270,14023,33071,4122,1615,600,0.901668806,81,961,1012,1107,411,243,431,0.528387788,46,6072,13418,18676,6071,5442,3752,215,155,1092,42,199,67,0.217263652,49,7941,7037,35927,4776,5057,6528,431,42,828,185,217,67,0.277745156,39,5983,5290,36653,6900,5829,6611,11337.07065,z,z,16907.44439,z,z,34,0,0,2,0,0,28093261.06,2478,0,0,0,0,1420225.329,84,0,0,0,0,0.209130687,0.077109883,102343680.5,94.1,3.8,0.8,92.2,4.5,0.8,98.6,97.5
Nottingham,892,-0.002881737,0.014820359,0.009478022,0.014010989,4971,2624,10,160,9.5%,8.2%,210,568,0,405,0,0,0,3885,21483,1260,420,420,1,1,0,387,0,0,0,1800,11260,750,0,0,1,1,230,157,0,0,0,0,1,1,790,6970,0,4350,900,800,210,0,195,0,0,0,0.518518519,25,7105,6262,10321,2310,1050,420,0,210,45,150,0,0,0.518518519,23,4165,6727,12106,1740,2310,420,13939.98796,1557.520873,z,z,z,z,9,4,0,0,0,0,25579877.92,1835,233628.1309,150,0,0,0,0,0,0,0,0,0.333785141,0.807349543,59129957.47,89.6,5.7,1.2,75.8,10.0,4.7,96.5,90.5
Shropshire,893,0.010987443,-0.000856164,0.0158698,0.011480281,0,0,40,250,10.2%,11.5%,873,150,0,98,0,0,0,2649,17963,1800,210,0,1,1,0,0,0,0,0,1680,13695,1656,1185,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,771,3829,6196,2370,1185,3865,0,0,56,0,42,0,0,68,581,2029,13276,1455,3196,2085,0,56,0,0,42,0,0.571428571,19,1169,2359,12684,1179,3146,2085,19884.41112,z,z,z,z,z,2,0,0,0,0,0,1193064.667,60,0,0,0,0,0,0,0,0,0,0,0.106485717,-0.023321245,19171734.8,94.2,3.2,0.7,90.3,5.3,1.1,98.1,96.6
Telford and Wrekin,894,0.027393864,0.014874496,0.035642426,0.031426655,2063,1174,110,450,6.5%,5.7%,215,505,0,0,0,0,0,3277,11849,1455,0,0,NULL,NULL,0,0,0,0,0,2575,4901,3780,0,0,NULL,NULL,0,0,0,0,0,0,NULL,NULL,380,2301,2795,3980,1800,0,0,0,0,0,0,0,NULL,NULL,550,2308,8244,3419,1134,926,0,0,0,0,0,0,NULL,NULL,840,2382,9713,1683,1037,926,15010.03053,z,27409.58927,z,z,z,2,0,1,0,0,0,3602407.326,240,0,0,5756013.746,210,0,0,0,0,0,0,0.203104114,0.423454794,33350987.44,94.3,3.3,0.4,82.3,8.5,3.3,98.0,94.1
Cheshire East,895,0.018281473,0.002349016,0.027603578,0.018710805,2987,2736,290,1190,7.1%,6.4%,140,350,0,449,0,0,0,7632,19875,3057,840,0,1,1,0,86,0,0,0,6659,15155,2976,780,0,1,1,0,86,0,0,0,0,1,1,0,10665,8509,1914,1830,2652,0,0,239,90,120,0,0,68,1890,2414,18487,5017,2865,731,0,21,203,105,120,0,0.046770601,66,2093,2653,20413,1635,3879,731,14385.58302,3025.775218,z,z,z,z,9,1,0,0,0,0,12270902.31,853,78670.15566,26,0,0,0,0,0,0,0,0,0.160084681,0.154610451,52593024.72,93.0,4.4,1.0,90.3,5.2,0.9,98.4,96.4
Cheshire West and Chester,896,0.002511283,0.022674334,0.035270991,0.028418983,4115,966,590,220,8.6%,12.8%,75,625,0,595,0,0,0,6552,21679,1463,210,0,1,1,0,0,150,0,155,4794,13514,1674,1055,165,0,111,0,0,0,150,0,155,0,74,975,3819,7605,8038,600,165,0,0,490,0,105,0,0,68,1837,2335,18057,2947,4260,468,0,105,490,0,0,0,0.176470588,49,2576,2182,19532,2801,2345,468,14100.70131,3895.717036,25216.00881,19126.97008,z,z,19,4,1,2,0,0,20065297.97,1423,1036260.732,266,2647680.925,105,5738091.024,300,0,0,0,0,0.213553913,0.092377843,78659194.22,90.7,5.6,1.5,90.3,6.2,1.1,97.8,97.6
Cornwall,908,0.003816061,0.008064129,0.016345549,0.013535002,5369,210,620,320,10.3%,11.4%,383,0,273,340,0,61,0,7322,32130,4680,959,0,0.909495549,94,75,0,0,0,0,3505,21224,4874,2789,0,1,1,0,0,75,0,0,0,0,74,1705,7435,9602,12954,0,696,40,156,180,221,0,77,0.328308208,39,3483,3534,20713,8112,5955,3294,231,56,195,75,40,77,0.480737018,24,4327,2990,24814,4460,5206,3294,17110.76561,9568.460736,z,z,z,z,23,3,0,0,0,0,30320276.67,1772,717634.5552,75,0,0,0,0,0,0,0,0,0.174982723,0.021656007,73509190.74,94.8,3.3,0.5,96.0,2.7,0.2,98.6,98.9
Cumbria,909,-0.010462294,0.001060179,0.006620195,0.010008178,3537,2097,20,140,17.1%,20.4%,150,0,0,140,0,0,0,4371,33030,3338,582,0,1,1,0,250,0,0,0,6656,18671,9923,0,300,1,1,0,0,0,200,50,0,0,74,1803,4715,12644,9191,6337,860,28,70,42,0,0,0,0.7,18,2736,3583,21098,3049,5370,5485,28,0,112,0,0,0,0.2,45,4808,1869,24589,717,3923,5415,25897.54665,z,z,z,z,z,4,0,0,0,0,0,7380800.794,285,0,0,0,0,0,0,0,0,0,0,0.011955544,0.087850008,24488209.92,96.8,1.8,0.3,94.3,4.1,0.4,98.9,98.7
Gloucestershire,916,0.013868429,0.002546403,0.021267415,0.010941931,5395,2497,500,410,9.2%,9.1%,2434,1665,111,231,81,0,0,10697,32199,5624,1310,630,0.808510638,101,69,500,90,150,0,10415,21094,7166,2458,660,0.703337454,97,0,69,321,269,150,0,0.085290482,71,6153,6242,15830,10000,2908,660,15,30,206,57,60,55,0.122282609,61,3842,6595,27096,2833,4817,5277,36,30,302,0,0,55,0.179347826,48,4283,6882,28248,2855,2915,5277,18132.86417,10281.74104,z,z,12461.05573,z,8,23,0,0,2,0,13400186.62,739,4729600.88,460,0,0,0,0,2866042.817,230,0,0,0.196335834,0.321783439,120948065.3,91.3,5.1,1.3,84.2,8.1,2.0,97.7,94.3
Hertfordshire,919,0.03470731,0.005393366,0.03117627,0.010268433,16018,10668,1120,1090,10.0%,11.7%,1323,2679,195,354,18,0,0,23819,73999,8780,900,0,0.968253968,86,1202,1735,30,0,0,30145,43937,12124,2962,1206,0.989888777,77,641,1115,251,560,400,0,0.591843613,43,18482,24741,23558,11946,6621,5026,0,30,343,68,0,126,0.068027211,66,6562,9466,53625,13707,9289,14849,148,0,260,33,0,126,0.335600907,34,7952,8717,59001,9938,7041,14849,22375.09697,6588.38656,z,24906.69073,12784.84369,z,16,30,0,4,5,0,45175320.78,2019,5185060.223,787,0,0,16438415.88,660,1623675.149,127,0,0,0.18778222,0.189612124,283979768.3,86.6,7.4,2.7,74.6,11.0,4.5,96.7,90.1
Isle of Wight,921,0.001297718,0.00205472,0.042667974,0.010135687,2162,0,60,0,16.5%,20.3%,0,0,0,0,0,0,0,210,7745,2312,0,0,NULL,NULL,0,1294,0,0,0,0,3760,2457,1437,0,1,1,0,0,0,1294,0,0,0,74,0,0,1585,3612,2082,375,0,0,0,0,0,0,NULL,NULL,0,420,6892,2457,420,78,0,0,0,0,0,0,NULL,NULL,210,420,8734,615,210,78,20257.5509,z,z,z,z,z,1,0,0,0,0,0,2430906.108,120,0,0,0,0,0,0,0,0,0,0,0.001341682,-0.163555794,5743425.34,94.8,3.2,0.5,91.7,5.9,0.1,98.4,97.7
Lincolnshire,925,0.017053907,0.007136785,0.025901706,0.013104118,6755,1656,430,900,13.1%,10.8%,923,1290,60,322,132,0,420,9346,41948,7313,2274,0,0.743190661,106,289,470,250,0,0,14659,24084,7235,3205,0,0.752229931,95,237,116,375,201,80,0,0.349851338,56,5432,6626,21972,10177,4336,640,0,240,154,70,30,440,0.48582996,26,2623,5633,33276,7030,6306,6013,35,120,239,70,30,440,0.313765182,37,2336,2515,34659,8589,6769,6013,13604.72832,5708.187838,22064.58036,z,z,z,20,8,2,0,0,0,23196061.78,1705,958975.5567,168,9267123.751,420,0,0,0,0,0,0,0.144702737,0.19145971,117739181.6,94.0,4.0,0.7,88.8,7.6,1.2,98.7,97.6
Norfolk,926,0.064892907,0.020875076,0.106418087,0.034208452,8123,3640,240,770,13.9%,13.6%,2131,510,220,734,15,0,420,8885,50014,5033,525,0,0.984520124,85,0,236,150,0,0,7465,34528,9172,0,0,0.611398964,103,0,60,176,150,0,0,0.155440415,69,2278,11411,28127,5378,3371,600,0,119,319,177,105,669,0.165277778,56,1642,4564,27361,12503,6740,11647,0,53,453,109,105,669,0.073611111,65,1480,2073,33595,8475,7187,11647,13334.94354,5634.226766,z,7539.479905,z,z,27,4,0,1,0,0,25856455.53,1939,845134.0149,150,0,0,1130921.986,150,0,0,0,0,0.160428669,0.046629604,145422781.2,93.0,4.0,0.9,90.7,4.9,0.8,97.9,96.4
Northamptonshire,928,0.042908674,0.00401467,0.036628023,0.015990406,12283,5233,220,140,11.8%,10.2%,65,1085,0,109,0,0,630,5998,49680,14038,194,420,1,1,94,0,0,0,0,10323,26125,16137,2430,0,1,1,94,0,0,0,0,0,1,1,9099,7078,22470,10451,1230,4687,0,0,0,109,0,630,0,68,2933,4927,34153,9919,6595,11803,0,0,0,0,109,630,0,69,2672,2480,39183,8184,6008,11803,16488.72745,3470.830204,19051.28256,z,z,z,16,4,2,0,0,0,35830004.75,2173,728874.3428,210,12002308.01,630,0,0,0,0,0,0,0.229211912,0.304077602,106745116,93.1,4.5,1.0,76.9,13.0,3.9,98.6,93.9
Northumberland,929,-0.000256005,0.010154883,0.024357326,0.006362468,5029,0,90,0,16.7%,18.0%,0,0,0,559,59,0,0,3325,18661,2679,0,1470,0.904530744,96,0,44,24,0,0,1758,11397,5429,1820,0,0.647058824,101,0,0,0,0,0,68,NULL,NULL,0,0,5100,2769,2715,9820,0,162,181,0,23,252,0.442622951,28,210,3234,6431,945,2203,13112,0,0,366,0,0,252,0,69,1344,1470,6856,1050,2303,13112,13661.88906,z,z,z,z,z,5,0,0,0,0,0,7213477.424,528,0,0,0,0,0,0,0,0,0,0,0.133047417,-0.024582223,18313907.6,98.2,1.5,0.1,98.4,0.6,0.1,99.8,99.1
