LA_name,LANumber,Region,For_2_P,For_1_P,For_2_S,For_1_S,Quan_P_In,Quan_S_In,Quan_P_RP,Quan_S_RP,Quan_P_Su,Quan_S_Su,Quan_P_PP,Quan_S_PP,Qual_P_1_N,Qual_P_2_N,Qual_P_3_N,Qual_P_4_N,Qual_P_0_N,Qual_P_1_E,Qual_P_2_E,Qual_P_3_E,Qual_P_4_E,Qual_P_0_E,Qual_P_Prop,Qual_P_Propranks,Qual_S_1_N,Qual_S_2_N,Qual_S_3_N,Qual_S_4_N,Qual_S_0_N,Qual_S_1_E,Qual_S_2_E,Qual_S_3_E,Qual_S_4_E,Qual_S_0_E,Qual_S_Prop,Qual_S_Propranks,CPP_P_EP,CPP_P_ET,CPP_P_NS,CPP_S_EP,CPP_S_ET,CPP_S_NS,Projects_P_EP,Projects_P_ET,Projects_P_NS,Projects_S_EP,Projects_S_ET,Projects_S_NS,Cost_P_EP,Places_P_EP,Cost_P_ET,Places_P_ET,Cost_P_NS,Places_P_NS,Cost_S_EP,Places_S_EP,Cost_S_ET,Places_S_ET,Cost_S_NS,Places_S_NS,Ban_P_gro,Ban_S_gro,Funding,Pref_P_1_CY,Pref_P_2_CY,Pref_P_3_CY,Pref_S_1_CY,Pref_S_2_CY,Pref_S_3_CY,Pref_P_T3_CY,Pref_S_T3_CY,Pref_P_1_NY,Pref_P_2_NY,Pref_P_3_NY,Pref_S_1_NY,Pref_S_2_NY,Pref_S_3_NY,Pref_P_T3_NY,Pref_S_T3_NY,Quan_P_UP,Quan_S_UP,An_P_gro,An_S_gro
Birmingham,330,West Midlands,0.036707949,-0.010042741,0.028598231,-0.010374274,14319,20485,50,720,0.121594198,0.071297554,0,2029,180,347,0,0,0,19097,75094,15343,1560,0,1,1,1249,1599,386,0,600,23544,39070,10726,1363,1800,0.880643166,93,17106.24524,8143.140943,20480.73671,23753.22209,8993.620633,24800.07876,1204,616,70,144,41,12,2197057714,128436,173400043.2,21294,486683746.5,23763,708202316.6,29815,28752605.16,3197,280340090.3,11304,0.108765127,0.184968664,319554025.8,91.82971568,5.296545399,1.391011923,73.45114052,11.85581526,5.252041678,98.51727301,90.55899747,11.85581526,5.252041678,98.51727301,90.55899747,91.82971568,5.296545399,1.391011923,73.45114052,0.071297554,0.121594198,0.184968664,0.108765127
Coventry,331,West Midlands,0.030809399,0.018015666,0.010709373,0.008744351,6561,2012,40,1780,0.113351898,0.077949573,0,1295,0,0,0,0,0,1470,29250,3080,0,0,z,z,31,0,0,0,0,5064,11766,4378,898,0,1,1,17106.24524,8143.140943,20480.73671,23753.22209,8993.620633,24800.07876,1204,616,70,144,41,12,2197057714,128436,173400043.2,21294,486683746.5,23763,708202316.6,29815,28752605.16,3197,280340090.3,11304,0.204909879,0.257810705,118373380.5,95.44097693,3.527815468,0.488466757,75.97828546,11.21918118,4.840533816,99.45725916,92.03800045,11.21918118,4.840533816,99.45725916,92.03800045,95.44097693,3.527815468,0.488466757,75.97828546,0.077949573,0.113351898,0.257810705,0.204909879
Dudley,332,West Midlands,0.022363263,-0.000448012,0.010083746,-0.004671566,936,0,30,50,0.084811876,0.100201452,0,930,0,0,62,0,0,910,21140,3850,0,0,0,121,0,140,0,0,0,1175,12557,3630,0,0,1,1,17106.24524,8143.140943,20480.73671,23753.22209,8993.620633,24800.07876,1204,616,70,144,41,12,2197057714,128436,173400043.2,21294,486683746.5,23763,708202316.6,29815,28752605.16,3197,280340090.3,11304,0.06623626,-0.059800664,36097576.72,91.2994029,5.6013648,1.336366221,86.74863388,8.715846995,1.50273224,98.23713392,96.96721311,8.715846995,1.50273224,98.23713392,96.96721311,91.2994029,5.6013648,1.336366221,86.74863388,0.100201452,0.084811876,-0.059800664,0.06623626
Sandwell,333,West Midlands,0.007703205,0.002538221,0.006958694,-0.004549915,6080,4064,210,600,0.059870151,0.030419874,0,210,0,209,60,0,420,6638,19943,6190,420,0,0.776951673,102,175,560,0,0,750,2470,15284,4303,0,0,1,1,17106.24524,8143.140943,20480.73671,23753.22209,8993.620633,24800.07876,1204,616,70,144,41,12,2197057714,128436,173400043.2,21294,486683746.5,23763,708202316.6,29815,28752605.16,3197,280340090.3,11304,0.269997717,0.295077464,132829616.4,92.92775665,4.055766793,0.836501901,77.68576544,10.85496867,3.379588183,97.82002535,91.92032229,10.85496867,3.379588183,97.82002535,91.92032229,92.92775665,4.055766793,0.836501901,77.68576544,0.030419874,0.059870151,0.295077464,0.269997717
Solihull,334,West Midlands,0.009867231,-0.007180865,0.017893503,-0.005244647,1135,1366,120,0,0.066379923,0.082420828,236,150,30,97,120,0,0,5168,11062,3585,0,0,0.51417004,115,120,0,0,0,0,4587,9365,4030,0,0,1,1,17106.24524,8143.140943,20480.73671,23753.22209,8993.620633,24800.07876,1204,616,70,144,41,12,2197057714,128436,173400043.2,21294,486683746.5,23763,708202316.6,29815,28752605.16,3197,280340090.3,11304,0.116503718,0.043503593,33370598.19,90.78321073,6.101254868,0.908697534,81.0733306,8.930766079,4.096681688,97.79316313,94.10077837,8.930766079,4.096681688,97.79316313,94.10077837,90.78321073,6.101254868,0.908697534,81.0733306,0.082420828,0.066379923,0.043503593,0.116503718
Walsall,335,West Midlands,0.001079632,-0.000483973,-0.008019246,-0.008233093,2318,29,210,180,0.054675833,0.029610461,105,300,0,210,90,0,0,3915,18949,3930,315,0,0.7,110,208,547,36,0,0,3392,9387,9147,0,0,0.95448799,88,17106.24524,8143.140943,20480.73671,23753.22209,8993.620633,24800.07876,1204,616,70,144,41,12,2197057714,128436,173400043.2,21294,486683746.5,23763,708202316.6,29815,28752605.16,3197,280340090.3,11304,0.169157519,0.095202571,67385087.02,91.36608918,4.487361545,1.391650099,76.24123422,13.01542777,3.197755961,97.24510082,92.45441795,13.01542777,3.197755961,97.24510082,92.45441795,91.36608918,4.487361545,1.391650099,76.24123422,0.029610461,0.054675833,0.095202571,0.169157519
Wolverhampton,336,West Midlands,0.019442096,0.004629071,0.018777139,0.001173571,2812,4944,20,150,0.046373285,0.072110443,225,400,180,454,0,0,0,4052,18936,840,208,0,1,1,185,1199,226,0,0,3359,11026,2914,0,0,0.859627329,96,17106.24524,8143.140943,20480.73671,23753.22209,8993.620633,24800.07876,1204,616,70,144,41,12,2197057714,128436,173400043.2,21294,486683746.5,23763,708202316.6,29815,28752605.16,3197,280340090.3,11304,0.29117555,0.403198393,54964888.59,89.11965282,6.168629882,1.642901426,72.65648398,11.1410602,5.39083558,96.93118413,89.18837975,11.1410602,5.39083558,96.93118413,89.18837975,89.11965282,6.168629882,1.642901426,72.65648398,0.072110443,0.046373285,0.403198393,0.29117555
Knowsley,340,North West,-0.008740205,-0.005424955,0.086526576,0.022779446,0,0,120,80,0.065918144,0.07551094,0,0,0,17,0,0,0,1335,11143,1449,0,0,1,1,0,0,0,0,0,0,1250,3350,1050,0,z,z,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.102371313,-0.139387248,8884598.3,87.89581205,6.84371808,1.532175689,77.77777778,10.87470449,4.078014184,96.27170582,92.73049645,10.87470449,4.078014184,96.27170582,92.73049645,87.89581205,6.84371808,1.532175689,77.77777778,0.07551094,0.065918144,-0.139387248,0.102371313
Liverpool,341,North West,-0.01573138,-0.005364143,0.008232649,-0.005069177,3864,0,820,570,0.059513656,0.063322016,0,0,99,287,0,0,0,7226,27934,3231,672,0,1,1,138,58,0,0,0,5867,10628,12426,3175,0,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.218396241,0.083224453,86277167.01,85.51984877,8.147448015,1.871455577,68.31683168,12.36613457,5.556678117,95.53875236,86.23964437,12.36613457,5.556678117,95.53875236,86.23964437,85.51984877,8.147448015,1.871455577,68.31683168,0.063322016,0.059513656,0.083224453,0.218396241
St. Helens,342,North West,0.011747733,-0.001236603,0.004294359,0.00517275,1193,851,40,140,0.122145541,0.047751882,135,0,171,0,0,0,0,3715,10245,1769,0,0,1,1,0,172,247,0,0,0,5708,4253,1650,0,0.410501193,116,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.047414113,0.097164735,21322209.58,92.02861523,3.781297905,1.379662749,96.43740722,2.127659574,0.395843642,97.18957588,98.96091044,2.127659574,0.395843642,97.18957588,98.96091044,92.02861523,3.781297905,1.379662749,96.43740722,0.047751882,0.122145541,0.097164735,0.047414113
Sefton,343,North West,0.004517141,-0.008701441,-0.003198081,-0.003064828,153,0,50,30,0.099686953,0.134549192,0,0,0,165,0,0,0,2527,18734,630,210,0,1,1,43,0,0,0,0,2936,6197,9453,809,0,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.028543906,-0.083253703,12575017.67,92.4069296,4.681164762,1.363803907,88.62911796,7.297201559,1.416932341,98.45189827,97.34325186,7.297201559,1.416932341,98.45189827,97.34325186,92.4069296,4.681164762,1.363803907,88.62911796,0.134549192,0.099686953,-0.083253703,0.028543906
Wirral,344,North West,-0.001058118,-0.000548654,0.006994874,0.00624733,786,0,10,0,0.148643496,0.094891233,30,203,0,118,0,0,0,5022,18998,3245,0,0,1,1,0,57,125,0,0,8906,9619,4854,0,0,0.313186813,119,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.012464968,0.026821755,10700620.87,93.397072,4.033462803,0.717060054,87.15068493,6.575342466,1.726027397,98.14759486,95.45205479,6.575342466,1.726027397,98.14759486,95.45205479,93.397072,4.033462803,0.717060054,87.15068493,0.094891233,0.148643496,0.026821755,0.012464968
Bolton,350,North West,0.017893915,0.0112192,0.012635924,0.005436971,5403,4445,480,0,0.050798505,0.047797848,0,0,210,265,120,0,0,7260,18718,2017,0,0,0.798319328,101,308,925,285,0,900,4032,9273,7816,0,0,0.812252964,100,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.240969644,0.222984363,69874542.92,88.74227962,7.018528916,1.852891634,80.14459076,10.81848696,3.459850245,97.61370017,94.42292796,10.81848696,3.459850245,97.61370017,94.42292796,88.74227962,7.018528916,1.852891634,80.14459076,0.047797848,0.050798505,0.222984363,0.240969644
Bury,351,North West,-0.001112072,-0.008340541,0.028246094,-0.00185365,2011,0,20,230,0.145682589,0.047122667,0,0,0,0,0,0,0,2005,12058,2222,0,700,z,z,0,0,0,0,0,0,5948,2150,0,0,z,z,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.046333105,0.02717538,29867853.4,94.17825863,3.91550747,0.618238022,83.67887075,7.984119982,2.249669166,98.71200412,93.9126599,7.984119982,2.249669166,98.71200412,93.9126599,94.17825863,3.91550747,0.618238022,83.67887075,0.047122667,0.145682589,0.02717538,0.046333105
Manchester,352,North West,0.020402431,0.002668165,0.021656606,-0.005414151,13733,12034,0,0,0.095879463,0.058555293,0,300,0,0,0,0,0,10512,39459,3150,0,420,z,z,0,150,0,0,1350,6138,17599,3000,4720,3850,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.34952185,0.505740842,342267201.2,94.70049783,3.195760398,0.722659387,74.01852669,11.13071607,4.219967652,98.61891762,89.36921041,11.13071607,4.219967652,98.61891762,89.36921041,94.70049783,3.195760398,0.722659387,74.01852669,0.058555293,0.095879463,0.505740842,0.34952185
Oldham,353,North West,0.043879621,0.035848822,0.04128118,0.038763321,2843,1525,330,530,0.040775895,0.031364163,15,580,60,240,0,0,0,3930,17480,3045,0,0,1,1,98,469,0,0,0,3037,8089,1500,1500,1500,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.18319169,0.221224815,89984804.72,93.74120956,4.008438819,0.562587904,75.74091048,10.75465933,3.45249007,98.31223629,89.94805988,10.75465933,3.45249007,98.31223629,89.94805988,93.74120956,4.008438819,0.562587904,75.74091048,0.031364163,0.040775895,0.221224815,0.18319169
Rochdale,354,North West,0.029428225,0.011985822,0.027757751,0.005695746,3668,0,220,370,0.056862331,0.042073723,84,600,0,611,0,0,0,3673,16019,1876,0,0,1,1,0,300,0,0,0,1350,8130,2100,1500,0,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.221973471,0.186055938,67521219.9,90.91865358,6.03085554,1.332398317,84.87569061,9.081491713,1.726519337,98.28190743,95.68370166,9.081491713,1.726519337,98.28190743,95.68370166,90.91865358,6.03085554,1.332398317,84.87569061,0.042073723,0.056862331,0.186055938,0.221973471
Salford,355,North West,-0.000504749,-0.010875052,-0.027746682,-8.00E-05,4692,47,70,130,0.107317646,0.039339659,0,547,0,657,120,0,0,4305,15583,2204,420,0,0.845559846,97,0,50,0,0,0,900,5100,5050,0,0,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.269509059,0.22609987,66180621.37,91.43774527,4.316803425,1.177310025,78.61189802,9.419263456,2.337110482,96.93185872,90.36827195,9.419263456,2.337110482,96.93185872,90.36827195,91.43774527,4.316803425,1.177310025,78.61189802,0.039339659,0.107317646,0.22609987,0.269509059
Stockport,356,North West,-0.001787964,-0.021983827,-0.006027959,0.005194306,4466,0,40,120,0.115371889,0.049345075,225,0,19,0,29,0,0,5630,18697,1294,0,420,0.395833333,120,82,0,0,0,0,1568,7190,4035,0,1050,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.154207174,0.108320788,50279405.77,90.39057657,5.331680099,1.022938624,79.1464891,8.656174334,3.753026634,96.74519529,91.55569007,8.656174334,3.753026634,96.74519529,91.55569007,90.39057657,5.331680099,1.022938624,79.1464891,0.049345075,0.115371889,0.108320788,0.154207174
Tameside,357,North West,0.039281871,0.014284317,0.037454719,0.017018659,3590,314,10,190,0.083369804,0.012158955,0,260,0,87,0,0,0,1259,18666,2291,0,0,1,1,0,285,42,0,0,2706,6513,2430,1650,1050,0.871559633,94,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.189119468,0.119965601,61754285.86,94.88680718,3.200624512,0.31225605,85.07563025,7.798319328,1.647058824,98.39968774,94.5210084,7.798319328,1.647058824,98.39968774,94.5210084,94.88680718,3.200624512,0.31225605,85.07563025,0.012158955,0.083369804,0.119965601,0.189119468
Trafford,358,North West,-0.012711468,-0.004860267,0.039425446,0.019832923,3480,1908,170,90,0.047027992,0.066652884,210,770,0,175,0,0,0,9486,10481,932,0,0,1,1,507,269,0,0,0,7381,11838,0,0,0,1,1,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.20447394,0.223394655,86406320.79,93.41099381,4.0771751,1.019293775,63.90163934,14.2295082,6.524590164,98.50746269,84.6557377,14.2295082,6.524590164,98.50746269,84.6557377,93.41099381,4.0771751,1.019293775,63.90163934,0.066652884,0.047027992,0.223394655,0.20447394
Wigan,359,North West,0.003713061,0.001569438,0.04307984,0.013850853,1675,0,260,450,0.080697387,0.034015554,30,30,25,165,0,0,0,7560,18288,900,0,0,1,1,0,0,0,0,0,0,14321,2941,1980,0,z,z,17826.5082,8486.010035,21343.08352,24753.35775,9372.299397,25844.29261,1204,616,70,144,41,12,2289565407,128436,180701097.7,21294,507175693.7,23763,738021361.5,29815,29963241.17,3197,292143883.6,11304,0.079814385,0.092017619,67828636.47,91.56558533,4.880112835,0.902679831,91.82807111,4.37781905,1.300079597,97.348378,97.50596975,4.37781905,1.300079597,97.348378,97.50596975,91.56558533,4.880112835,0.902679831,91.82807111,0.034015554,0.080697387,0.092017619,0.079814385
Barnsley,370,Yorkshire and The Humber,0.011158157,-0.001295143,0.011342905,-0.005949076,1873,0,0,220,0.089490507,0.059472715,0,540,0,70,60,0,0,4555,11880,4226,0,0,0.538461538,113,0,270,0,0,0,0,8400,1200,0,0,1,1,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.155550304,0.030786233,30289536.73,93.7328633,4.230317274,0.470035253,97.01097238,1.551267499,0.113507378,98.43321582,98.67574726,1.551267499,0.113507378,98.43321582,98.67574726,93.7328633,4.230317274,0.470035253,97.01097238,0.059472715,0.089490507,0.030786233,0.155550304
Doncaster,371,Yorkshire and The Humber,0.014119666,0.019931352,0.042417131,0.029568789,3002,0,90,50,0.149212272,0.116891425,280,600,38,136,161,0,0,2835,16943,7159,280,0,0.519402985,114,50,431,21,0,450,1503,9680,6446,1178,329,0.958167331,86,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.135447696,0.089980489,42781485.66,97.13891761,1.551189245,0.068941744,88.0191216,4.601135345,4.0035853,98.7590486,96.62384225,4.601135345,4.0035853,98.7590486,96.62384225,97.13891761,1.551189245,0.068941744,88.0191216,0.116891425,0.149212272,0.089980489,0.135447696
Rotherham,372,Yorkshire and The Humber,0.02427613,0.002868997,0.03308994,0.011706073,3362,1058,0,170,0.172456954,0.099688903,420,525,63,165,75,0,420,3412,15593,4665,900,0,0.752475248,104,0,367,0,0,0,2980,12328,2764,704,0,1,1,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.08432385,0.035578802,31279237.05,94.62328767,3.424657534,0.51369863,90.90340731,3.563613629,1.219130978,98.56164384,95.68615192,3.563613629,1.219130978,98.56164384,95.68615192,94.62328767,3.424657534,0.51369863,90.90340731,0.099688903,0.172456954,0.035578802,0.08432385
Sheffield,373,Yorkshire and The Humber,0.024701375,-0.000247915,0.011297906,0.001014782,4242,5479,220,970,0.10792979,0.052394466,60,77,32,57,0,0,0,6684,35811,4832,0,420,1,1,0,0,0,0,0,6719,15988,5978,1200,1950,z,z,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.13049612,0.123165542,146498403.3,92.58369099,4.566523605,0.927038627,88.25286212,5.259664842,1.991040319,98.07725322,95.50356728,5.259664842,1.991040319,98.07725322,95.50356728,92.58369099,4.566523605,0.927038627,88.25286212,0.052394466,0.10792979,0.123165542,0.13049612
Bradford,380,Yorkshire and The Humber,0.001003531,-0.00789816,-5.67E-05,-0.002210195,7628,4848,20,200,0.120437191,0.058030306,60,180,30,237,0,28,0,7945,39083,7457,364,0,0.905084746,89,342,120,0,20,1400,8562,16009,8722,2462,0,0.958506224,85,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.082929287,0.26647986,126251604.4,90.65393931,5.299900271,1.453198461,76.0932214,9.221902017,4.197468989,97.40703804,89.51259241,9.221902017,4.197468989,97.40703804,89.51259241,90.65393931,5.299900271,1.453198461,76.0932214,0.058030306,0.120437191,0.26647986,0.082929287
Calderdale,381,Yorkshire and The Humber,0.025816332,0.016408686,0.03495212,0.016963064,1417,1312,0,260,0.155981993,0.004811095,0,125,0,98,0,0,0,2796,14338,2904,0,0,1,1,0,90,0,0,0,4055,9556,0,1350,0,1,1,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.023321271,0.172971741,40019292.68,95.654184,2.773925104,0.27739251,81.87022901,7.290076336,5.419847328,98.70550162,94.58015267,7.290076336,5.419847328,98.70550162,94.58015267,95.654184,2.773925104,0.27739251,81.87022901,0.004811095,0.155981993,0.172971741,0.023321271
Kirklees,382,Yorkshire and The Humber,0.005094653,-0.006462165,0.007870334,0.000818203,3618,662,30,220,0.14755633,0.027137305,420,120,0,145,20,0,360,4437,28658,4513,167,60,0.878787879,93,91,445,0,15,0,5294,17430,900,2458,0,0.97277677,82,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.056758442,0.141203904,64263317.32,92.45747079,5.205984833,1.31174421,85.0448654,8.434695912,2.791625125,98.97519984,96.27118644,8.434695912,2.791625125,98.97519984,96.27118644,92.45747079,5.205984833,1.31174421,85.0448654,0.027137305,0.14755633,0.141203904,0.056758442
Leeds,383,Yorkshire and The Humber,0.038782319,0.007836991,0.026777349,0.010850382,13338,7073,1010,1120,0.096045811,0.036053716,865,2225,47,924,100,0,0,11471,48447,8833,140,840,0.906629318,88,611,652,0,0,0,9180,33005,3730,1038,560,1,1,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.266835248,0.264800588,317282644,89.24894332,6.101658177,1.961634334,80.28836035,8.640286256,3.073037255,97.31223583,92.00168386,8.640286256,3.073037255,97.31223583,92.00168386,89.24894332,6.101658177,1.961634334,80.28836035,0.036053716,0.096045811,0.264800588,0.266835248
Wakefield,384,Yorkshire and The Humber,0.041003294,-0.006313478,0.048527561,-0.003976844,3095,665,0,60,0.112418614,0.097299302,0,70,0,254,123,0,0,4302,21204,5069,0,0,0.673740053,112,226,150,30,0,0,4224,14155,3223,0,0,0.926108374,89,16926.17951,8057.42367,20265.15001,23503.18817,8898.950942,24539.0253,1204,616,70,144,41,12,2173930791,128436,171574779.6,21294,481560759.7,23763,700747555.3,29815,28449946.16,3197,277389142,11304,0.174831535,0.054519221,47146735.7,94.34666667,3.733333333,0.266666667,95.66596195,2.589852008,0.343551797,98.34666667,98.59936575,2.589852008,0.343551797,98.34666667,98.59936575,94.34666667,3.733333333,0.266666667,95.66596195,0.097299302,0.112418614,0.054519221,0.174831535
Gateshead,390,North East,0.028160371,0.003204691,0.021971723,0.008311043,1371,0,0,330,0.175241404,0.021902308,0,150,45,0,0,0,0,5584,10182,1255,0,0,1,1,240,60,0,0,0,4186,4124,1496,1250,0,1,1,16746.11376,7971.706396,20049.56331,23253.15425,8804.281252,24277.97184,1204,616,70,144,41,12,2150803867,128436,169749516,21294,476437772.9,23763,693292794.1,29815,28147287.16,3197,274438193.7,11304,0.042425589,0.135037995,32910808.05,94.16623645,3.355704698,0.774393392,84.64912281,9.868421053,2.35745614,98.29633454,96.875,9.868421053,2.35745614,98.29633454,96.875,94.16623645,3.355704698,0.774393392,84.64912281,0.021902308,0.175241404,0.135037995,0.042425589
Newcastle upon Tyne,391,North East,0.010909587,0.002772853,0.022772277,0.011669024,1922,628,30,540,0.081483392,0.048683643,195,614,75,170,0,0,0,5531,16272,507,0,0,1,1,72,0,20,0,0,4778,2296,6109,0,600,0.782608696,103,16746.11376,7971.706396,20049.56331,23253.15425,8804.281252,24277.97184,1204,616,70,144,41,12,2150803867,128436,169749516,21294,476437772.9,23763,693292794.1,29815,28147287.16,3197,274438193.7,11304,0.213113845,0.213451918,54581277.99,88.24347826,5.356521739,2.434782609,79.1889824,9.602142311,3.557765876,96.03478261,92.34889059,9.602142311,3.557765876,96.03478261,92.34889059,88.24347826,5.356521739,2.434782609,79.1889824,0.048683643,0.081483392,0.213451918,0.213113845
North Tyneside,392,North East,0.01483883,0.003553838,0.024817788,-0.008580127,6,1378,20,0,0.114805495,0.136965714,0,0,0,45,0,0,0,5240,11867,925,0,0,1,1,0,0,0,0,0,2006,9472,1202,450,0,z,z,16746.11376,7971.706396,20049.56331,23253.15425,8804.281252,24277.97184,1204,616,70,144,41,12,2150803867,128436,169749516,21294,476437772.9,23763,693292794.1,29815,28147287.16,3197,274438193.7,11304,0.112137203,0.022335794,10839331.59,94.76439791,2.808186578,0.571156592,88.15789474,5.892448513,0.972540046,98.14374108,95.0228833,5.892448513,0.972540046,98.14374108,95.0228833,94.76439791,2.808186578,0.571156592,88.15789474,0.136965714,0.114805495,0.022335794,0.112137203
South Tyneside,393,North East,0.008791396,0.002304541,0.025815053,0.018664404,242,0,50,0,0.100241206,0.071168465,0,392,21,126,180,0,0,3211,7956,1320,0,0,0.449541284,119,155,50,330,0,0,2719,5270,1350,0,0,0.38317757,117,16746.11376,7971.706396,20049.56331,23253.15425,8804.281252,24277.97184,1204,616,70,144,41,12,2150803867,128436,169749516,21294,476437772.9,23763,693292794.1,29815,28147287.16,3197,274438193.7,11304,0.105921681,0.022940075,9621280.78,94.81481481,3.2996633,0.336700337,89.15429309,6.391220142,0.387346675,98.45117845,95.93285991,6.391220142,0.387346675,98.45117845,95.93285991,94.81481481,3.2996633,0.336700337,89.15429309,0.071168465,0.100241206,0.022940075,0.105921681
Sunderland,394,North East,0.00151143,0.003589647,0.034276094,0.003030303,230,0,10,80,0.164387476,0.094116222,350,25,0,70,0,0,0,2565,19830,1262,0,0,1,1,0,205,0,0,0,1290,7411,5230,2150,0,1,1,16746.11376,7971.706396,20049.56331,23253.15425,8804.281252,24277.97184,1204,616,70,144,41,12,2150803867,128436,169749516,21294,476437772.9,23763,693292794.1,29815,28147287.16,3197,274438193.7,11304,0.016780023,-0.041279861,12238823.73,94.07407407,3.80952381,0.564373898,90.24141448,5.44032642,1.088065284,98.44797178,96.76980619,5.44032642,1.088065284,98.44797178,96.76980619,94.07407407,3.80952381,0.564373898,90.24141448,0.094116222,0.164387476,-0.041279861,0.016780023
